"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"23","195.497676429811","117.54106259215555","0.008056640625","0.01513671875","0.0009765625","1560","0.00015182138528329874","0.00015182138528329874","0","0.00015182138528329874","0.00015182138528329874","23_22:0.0025485889184634347;23_24:0.003546046866765684;23_16:0.0036900479841266987","23_22:0.0024540600922504097;23_24:0.002576229907698152;23_16:0.005282996476177887","23_22:84;23_24:84;23_16:84","true"
"24","171.99406665879874","203.01053491663163","0.007568359375","0.01220703125","0.0029296875","1560","0.00022495374046954165","0.00022495374046954165","0","0.00022495374046954165","0.00022495374046954165","24_23:0.003546046866765684;24_25:0.0041913873698057325","24_23:0.002576229907698152;24_25:0.0019983413087459045","24_23:84;24_25:84","true"
"25","150.41423668466814","142.21240534233252","0.008056640625","0.01318359375","0.0029296875","1560","0.00020295488477989872","0.00020295488477989872","0","0.00020295488477989872","0.00020295488477989872","25_24:0.0041913873698057325;25_26:0.003630102536337221;25_37:0.0026042140315368223","25_24:0.0019983413087459045;25_26:1;25_37:0.0026156045583619614","25_24:84;25_26:84;25_37:84","true"
"26","132.02887332096768","40.95879265836819","0.00439453125","0.00830078125","0.00048828125","1560","0.00022554179606759536","0.00022554179606759536","0","0.00022554179606759536","0.00022554179606759536","26_25:0.003630102536337221;26_27:0.01102443423395244","26_25:1;26_27:0.01418606917618126","26_25:84;26_27:84","true"
"27","136.93272666552983","128.9323061781122","0.0107421875","0.017578125","0.00390625","1560","0.0003404370186190821","0.0003404370186190821","0","0.0003404370186190821","0.0003404370186190821","27_26:0.01102443423395244;27_28:1;27_17:0.014304947973108162","27_26:0.01418606917618126;27_28:0.03815084059676618;27_17:0.012185436749548445","27_26:84;27_28:84;27_17:84","true"
"28","177.8215632178572","186.17362519076877","0.00537109375","0.01025390625","0.00048828125","1560","0.00018942914222267623","0.00018942914222267623","0","0.00018942914222267623","0.00018942914222267623","28_27:1;28_29:0.011749525921629422","28_27:0.03815084059676618;28_29:0.004756188510900511","28_27:84;28_29:84","true"
"29","202.3811950201887","39.3998708738617","0.0087890625","0.01220703125","0.00537109375","1560","0.00023289337005957887","0.00023289337005957887","0","0.00023289337005957887","0.00023289337005957887","29_38:0.008847164775616811;29_28:0.011749525921629422;29_30:0.009236974843959522","29_38:0.002500271855333469;29_28:0.004756188510900511;29_30:1","29_38:84;29_28:84;29_30:84","true"
"30","173.30669587441707","128.0704940110855","0.00634765625","0.00830078125","0.00439453125","1560","0.0001822836820353646","0.0001822836820353646","0","0.0001822836820353646","0.0001822836820353646","30_31:0.0044684536696315;30_29:0.009236974843959522","30_31:0.00427416711622014;30_29:1","30_31:84;30_29:84","true"
"31","188.58594283224406","62.56573629081278","0.007080078125","0.01171875","0.00244140625","1560","0.0006174315843466866","0.0006174315843466866","0","0.0006174315843466866","0.0006174315843466866","31_30:0.0044684536696315;31_32:0.08624607876241835;31_18:0.004895868019943794","31_30:0.00427416711622014;31_32:0.009718458592430201;31_18:0.00360999380394722","31_30:84;31_32:84;31_18:84","true"
"32","122.65986034383386","101.51532720594074","0.0146484375","0.02001953125","0.00927734375","1560","0.0004026172357925644","0.0004026172357925644","0","0.0004026172357925644","0.0004026172357925644","32_31:0.08624607876241835;32_33:1","32_31:0.009718458592430201;32_33:1","32_31:84;32_33:84","true"
