"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"78","303.60881909824326","128.34943195336677","4.792360463887034","-0.30890316850677096","0.01025390625","0.0087890625","0.01171875","1600","0.0001729712173950217","0","0.0001729712173950217","0.0001729712173950217","78_77:0.006981310570652266","78_77:660","true"
"79","129.36579807623974","56.019726274634024","4.87075251756383","-0.3085467634046332","0.03759765625","0.01611328125","0.05908203125","1600","0.0005267290549382469","0","0.0005267290549382469","0.0005267290549382469","79_78:0.007146381528148393;79_91:1","79_78:660;79_91:660","true"
"80","184.23440739628614","101.49804464672182","4.830670495464941","-0.3083070407011","0.020751953125","0.01904296875","0.0224609375","1600","0.0007645156896486816","0","0.0007645156896486816","0.0007645156896486816","80_79:0.008964561637353874","80_79:660","true"
"81","401.50545724734775","130.73137387274554","4.697314782017602","-0.31086659359752655","0.0322265625","0.04052734375","0.02392578125","1600","0.00015808113202100605","0","0.00015808113202100605","0.00015808113202100605","81_80:0.0081222712429595","81_80:660","true"
"82","215.89333426988125","7.63894895016483","4.951694781736732","-0.3068207625988667","0.089599609375","0.041015625","0.13818359375","1600","0.00029527598277335175","0","0.00029527598277335175","0.00029527598277335175","82_81:0.008558251137295747;82_83:0.006168409466671521","82_81:660;82_83:660","true"
"83","396.005235512342","221.41948273844403","5.01473239917949","-0.3069501779452577","0.019775390625","0.013671875","0.02587890625","1600","0.0001471790237618645","0","0.0001471790237618645","0.0001471790237618645","","","true"
"84","240.6340206344218","55.75153675514374","4.905169259911706","-0.3067980449106979","0.014892578125","0.009765625","0.02001953125","1600","0.00023521053095079973","0","0.00023521053095079973","0.00023521053095079973","84_83:0.004860921597902912;84_85:0.005153428023747075","84_83:660;84_85:660","true"
"85","353.3933485803769","380.0993671919559","4.860095970053075","-0.30863044712933246","0.01171875","0.01123046875","0.01220703125","1600","0.0001390322990821738","0","0.0001390322990821738","0.0001390322990821738","","","true"
"86","333.69782703535145","445.26557024876234","4.701397565173939","-0.31071005242081995","0.017333984375","0.0126953125","0.02197265625","1600","0.001828233110192915","0","0.001828233110192915","0.001828233110192915","86_85:0.0072509320792965015;86_87:0.005420597528908444","86_85:660;86_87:660","true"
"87","431.8018335176449","338.50308997730235","4.665794152813694","-0.31178405546432586","0.0146484375","0.0107421875","0.0185546875","1600","0.0001639330072600135","0","0.0001639330072600135","0.0001639330072600135","87_93:0.0044383527211311335","87_93:660","true"
"88","203.0441076216629","202.87995084274814","4.806535187334056","-0.3090566471901403","0.005126953125","0.00537109375","0.0048828125","1600","0.00016067436172626122","0","0.00016067436172626122","0.00016067436172626122","88_87:0.004833337855860209;88_89:0.005210219419004292","88_87:660;88_89:660","true"
"89","276.277537344381","424.15589679529614","4.612720061528458","-0.3120623117862136","0.0107421875","0.01171875","0.009765625","1600","0.0003225814845318618","0","0.0003225814845318618","0.0003225814845318618","","","true"
"90","334.56118848589193","75.82894363620355","4.711869835692833","-0.3099694238593608","0.0185546875","0.013671875","0.0234375","1600","0.00010999284242549847","0","0.00010999284242549847","0.00010999284242549847","90_94:0.004126754329438154;90_75:0.004906561641249585","90_94:660;90_75:660","true"
"91","252.15556614445092","14.376236009655422","4.984099913448378","-0.36918699668251537","0.17236328125","0.05908203125","0.28564453125","1600","0.00267986276661299","0","0.00267986276661299","0.00267986276661299","91_98:0.2183831959177427","91_98:660","true"
"92","283.38273279846806","7.713476486643907","4.771452230996279","-0.3094332092151604","0.012939453125","0.01171875","0.01416015625","1600","0.0001972034794945825","0","0.0001972034794945825","0.0001972034794945825","92_83:0.007893247144389326;92_102:0.005674044043636639","92_83:660;92_102:660","true"
"93","353.6384883795837","380.7539318157947","4.7876999479113636","-0.30884806165403966","0.01513671875","0.017578125","0.0126953125","1600","0.00020047824284966857","0","0.00020047824284966857","0.00020047824284966857","","","true"
"94","444.3851998762011","419.3415372536447","4.808726921347619","-0.30907384238092234","0.01220703125","0.0087890625","0.015625","1600","0.00033379491033734505","0","0.00033379491033734505","0.00033379491033734505","","","true"
"95","619.9710049886214","538.6594325938933","4.743758059263513","-0.3100716595194284","0.025634765625","0.02490234375","0.0263671875","1600","0.00006367655757928058","0","0.00006367655757928058","0.00006367655757928058","95_94:0.004735547344759006;95_96:0.006452654616760978","95_94:660;95_96:660","true"
"96","253.53972948643485","69.9660529330442","4.8744777454449215","-0.3076167709526163","0.0234375","0.0302734375","0.0166015625","1600","0.00036076073411478026","0","0.00036076073411478026","0.00036076073411478026","96_97:0.023597973173605513;96_109:0.009801471542271456","96_97:660;96_109:660","true"
"97","167.56973024885278","12.60428830611672","4.670201421287777","-0.37893034503896755","0.095458984375","0.06689453125","0.1240234375","1600","0.0059970919310306054","0","0.0059970919310306054","0.0059970919310306054","","","true"
"98","248.4661497318186","66.66389718469571","4.935192964439741","-0.3072350372364682","0.086669921875","0.04345703125","0.1298828125","1600","0.0005998347019612906","0","0.0005998347019612906","0.0005998347019612906","98_97:1","98_97:660","true"
"99","404.58230927855635","117.2783977992852","4.807976273768163","-0.30824893727678815","0.02734375","0.01220703125","0.04248046875","1600","0.00016815442884303528","0","0.00016815442884303528","0.00016815442884303528","99_100:0.011044363328326201;99_98:0.009630130641391454","99_100:660;99_98:660","true"
"100","186.12707823693611","62.358817517053055","4.747879035446891","-0.3099078705652482","0.020263671875","0.0234375","0.01708984375","1600","0.0007973406497532559","0","0.0007973406497532559","0.0007973406497532559","","","true"
"101","240.03464532830688","251.71849793540082","4.990428343707076","-0.306444397256142","0.021240234375","0.00732421875","0.03515625","1600","0.00017395477004816812","0","0.00017395477004816812","0.00017395477004816812","101_100:0.010232011477092184;101_102:0.004671353183187288","101_100:660;101_102:660","true"
"102","240.997901636999","56.61674100826242","4.9226511491845","-0.3074867003835158","0.013671875","0.0126953125","0.0146484375","1600","0.00018054055655932389","0","0.00018054055655932389","0.00018054055655932389","102_103:0.005327586328732703","102_103:660","true"
"103","311.63427256503286","71.47747155057975","4.840912054752069","-0.30716759041448993","0.0849609375","0.0712890625","0.0986328125","1600","0.0001569650966894773","0","0.0001569650966894773","0.0001569650966894773","103_104:0.005882549939527748","103_104:660","true"
"104","297.74730163763047","63.1088520616844","4.906997426280951","-0.30828398725520767","0.032470703125","0.03515625","0.02978515625","1600","0.0001485262131455151","0","0.0001485262131455151","0.0001485262131455151","104_105:0.005795385190223823","104_105:660","true"
"105","648.1030946596966","106.81988549642425","4.6615490259495305","-0.31082105389102754","0.044189453125","0.06787109375","0.0205078125","1600","0.0001400486641937587","0","0.0001400486641937587","0.0001400486641937587","105_106:0.012336740400044954","105_106:660","true"
"106","445.3918218554524","186.04423173958102","4.923090174024431","-0.3069958315991505","0.015380859375","0.0126953125","0.01806640625","1600","0.0002963160649130887","0","0.0002963160649130887","0.0002963160649130887","106_93:0.005428109310095741;106_107:0.007568556355293354","106_93:660;106_107:660","true"
"107","261.66929220409986","248.7782959668444","4.963749169343391","-0.3060643246904622","0.02392578125","0.01904296875","0.02880859375","1600","0.00014519675098683893","0","0.00014519675098683893","0.00014519675098683893","107_108:0.014820055158873358","107_108:660","true"
"108","239.25192146612852","36.067855921100545","4.82268573046103","-0.2949420457953613","0.04150390625","0.0341796875","0.048828125","1600","0.001366711566338897","0","0.001366711566338897","0.001366711566338897","","","true"
"109","181.26698420106328","227.52006529575468","4.9945477202111475","-0.305720115996645","0.00830078125","0.00537109375","0.01123046875","1600","0.00016702718063012906","0","0.00016702718063012906","0.00016702718063012906","109_114:0.007413126767377487","109_114:660","true"
"110","249.34956303605475","270.8193343717988","4.988881784561105","-0.30588796504693644","0.0234375","0.0146484375","0.0322265625","1600","0.0003047152523579317","0","0.0003047152523579317","0.0003047152523579317","110_118:0.00798573105143463;110_100:0.014833757433022232","110_118:660;110_100:660","true"
"111","160.16893990184488","196.11262671221417","4.870702141923204","-0.3079400626926404","0.027587890625","0.029296875","0.02587890625","1600","0.0002982107002757571","0","0.0002982107002757571","0.0002982107002757571","111_104:0.012817442534446832;111_122:0.01894936685896681","111_104:660;111_122:660","true"
"112","314.1110320440849","103.44004908460161","4.864454052099263","-0.30748543555920793","0.021240234375","0.0234375","0.01904296875","1600","0.00033621727067678625","0","0.00033621727067678625","0.00033621727067678625","112_108:0.017722951465763914","112_108:660","true"
"113","547.3340560937929","276.0011677185919","4.834827578232783","-0.3092919791308059","0.0126953125","0.0185546875","0.0068359375","1600","0.0003489966178425457","0","0.0003489966178425457","0.0003489966178425457","113_114:0.042603638199351423","113_114:660","true"
"114","92.44277442795322","31.074923574691294","5.084377973573282","-0.30448707785321494","0.118408203125","0.03369140625","0.203125","1600","0.00047280228897511595","0","0.00047280228897511595","0.00047280228897511595","","","true"
